DASYLab - V 9.00.01
Schaltbildname : Rohdatenaufnahme_Kistler
Aufgenommen am : 09.12.2016, 12:30:18
Blocklaenge    : 32
Delta          : 0.01 sec.
Kanalzahl      : 8
Meﬂzeit[s]	0 [V]	1 [V]	2 [V]	3 [V]	4 [v]	5 [V]	6 [V]	7 [V]	
0.00	0.021057	0.032349	0.025635	0.018921	0.028076	0.029297	0.019531	0.021362	
0.01	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.02	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.03	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.04	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.05	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.06	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.07	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.08	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.09	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.10	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.11	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.12	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.13	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.14	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.15	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.16	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.17	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.18	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.19	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.20	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.21	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.22	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.23	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.24	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.25	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.26	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.27	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.28	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.29	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.30	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.31	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.32	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.33	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.34	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.35	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.36	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.37	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.38	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.39	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.40	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.41	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.42	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.43	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.44	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.45	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.46	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.47	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.48	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.49	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.50	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.51	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.52	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.53	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.54	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.55	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.56	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.57	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.58	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.59	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.60	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.61	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.62	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.63	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.64	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.65	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.66	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.67	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.68	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.69	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.70	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.71	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.72	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.73	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.74	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.75	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.76	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.77	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.78	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.79	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.80	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.81	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.82	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.83	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.84	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.85	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.86	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.87	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.88	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.89	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.90	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.91	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.92	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.93	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.94	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.95	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.96	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.97	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.98	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
0.99	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.00	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.01	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.02	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.03	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.04	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.05	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.06	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.07	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.08	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.09	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.10	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.11	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.12	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.13	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.14	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.15	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.16	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.17	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.18	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.19	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.20	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.21	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.22	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.23	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.24	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.25	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.26	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.27	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.28	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.29	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.30	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.31	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.32	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.33	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.34	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.35	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.36	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.37	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
1.38	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	-10.000000	
